Worker ID(WP),Score,Enabled,
534294692759fb21560000a4,0.93,FALSE,
5342946e2759fb21560000a6,0.93,FALSE,
534294742759fb21560000a8,0.93,FALSE,
5342947a2759fb21560000aa,0.93,FALSE,
534294182759fb2156000095,0.93,TRUE,53564d402759fb7b67000042
5342941d2759fb2156000097,0.93,TRUE,
534294802759fb21560000ac,0.93,FALSE,
534294862759fb21560000ae,0.93,FALSE,
5342948c2759fb21560000b0,0.93,FALSE,
534294232759fb2156000099,0.93,TRUE,
534294912759fb21560000b2,0.93,FALSE,
534294972759fb21560000b4,0.93,FALSE,
5342949d2759fb21560000b6,0.93,FALSE,
534294a32759fb21560000b8,0.93,FALSE,
534294a92759fb21560000ba,0.93,FALSE,
534294af2759fb21560000bc,0.93,FALSE,
534294292759fb215600009b,0.93,TRUE,
534294b52759fb21560000be,0.93,FALSE,
5342942f2759fb215600009d,0.93,TRUE,
534294bc2759fb21560000c0,0.93,FALSE,
