image_url,document_type
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00336.jpg,The document is blank
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00433.jpg,"There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00435.jpg,"There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00153.jpg,Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00190.jpg,Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00336.jpg,The document is blank
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00433.jpg,"There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00435.jpg,"There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00153.jpg,Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00190.jpg,Names appear alongside other text
