image_url,flagged_items,document_type
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00336.jpg,"{""document_type""=>{""status""=>""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00336.jpg,"{""document_type""=>{""status""=>""unflagged""}}",The document is blank
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00433.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00433.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00435.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00435.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00153.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00153.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00190.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00190.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00336.jpg,"{""document_type"":{""status"":""unflagged""}}",The document is blank
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00336.jpg,"{""document_type"":{""status"":""unflagged""}}",The document is blank
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00433.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00433.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00435.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00435.jpg,"{""document_type"":{""status"":""unflagged""}}","There is text, but no name"
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00153.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00153.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00190.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
https://image-slicer-proto.s3.amazonaws.com/IMGXSliceImages/28_mar_40783_1821100519_3412-00190.jpg,"{""document_type"":{""status"":""unflagged""}}",Names appear alongside other text
