audio_begin_time,audio_uri,audio_length,video_title,text
60,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330633874359.mp3,9150,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","take both your arms, show the room how high they go. Okay, so we are going to call you 10 minutes to 2"
93520,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634349225.mp3,9520,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.",do this. Steve either you feel nothing or you feel something. Can you describe it?
113700,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634496276.mp3,8950,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.",I think this change of movement. It's been a while since you
122650,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634522093.mp3,7740,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.",bumped into a 7 year old. What's it feel like that they might know?
137860,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634591868.mp3,9160,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","it's drying, it's a drying movement. Okay, fine. Does it stay the same or is it different now?"
191940,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634910044.mp3,7310,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","you feel them. Okay, fine. Stay there."
199250,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634953134.mp3,9630,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","You don't see your little fingers moving up and down. Well, this is going to make me insane if you don't see that."
208880,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634985576.mp3,9460,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","alright, never mind. It won't. I am releasing my OCD now. There we go. Alright, well anyway, Steve we were just playing with your fingers"
228940,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635134979.mp3,7890,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","fingers I actually work in your arms, I want to get a better view cause I was off to the sides. I am just going to step front of you"
313980,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635607384.mp3,10670,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","energy gets weaker with distance. Light does not. As this spectrum opens up, more the universe comes into support it, more the sensation is what he felt. The light"
334090,http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635690115.mp3,9900,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","Steve's DNA. And something inside of Steve, figuratively speaking, said, hey I remember this. I recognize this. This is my"
9250,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_13933063596763.mp3,7100,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","where I am sticking a needle in somebody's head, it really is not invasive. What we are doing is"
16350,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636029393.mp3,10440,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD",injecting conductive gel into the cap to make contact with the scalp. So it's a little bit like what they rub that on the woman's tummy so they
26790,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636062326.mp3,7460,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","can get that sonogram, it's kind of like that. So, the box that we use for measuring"
34250,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636108062.mp3,9800,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","EEG can pick up as small as a millionth of a volt. So those are very tiny, tiny voltages that we are working with."
44050,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636145346.mp3,10690,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","so the conductive gel mixes with the scalp and we record all the squiggly lines on there, and that's what we call an EEG. Once we have the"
54740,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636198399.mp3,10970,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","EEG, the squiggly lines, then we turn it into what's known as a quantitative EEG. Quantitative EEG really depicts that"
65710,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636318304.mp3,9580,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","EEG information, and what we call tomography. So tomography is a little bit like those weather maps that you see on television with the gradient colors and so forth"
75290,http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636347854.mp3,9690,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","that many magic pointer here. So we see each one of these little heads is a different frequency. So up here in the top, we have one"
